node	level
Adipocyte	compartment
Adipocyte	lineage
Adipocyte	group
Adrenal.Cortex	group
Adrenal.Epithelial	lineage
Astrocyte	group
Blood.B	group
Blood.Granulocyte	group
Blood.NK	group
Blood.T	group
Breast.Basal.Epithelial	group
Breast.Epithelial	lineage
Breast.Luminal.Epithelial	group
Cardiac.Muscle	lineage
Colon	group
Endothel	compartment
Endothel	lineage
Epithelial	compartment
Erythrocyte.Progenitor	group
Erythroid	lineage
Excitatory.Neuron	group
Fibroblast	compartment
Fibroblast	lineage
Fibroblast	group
GI.Epithelial	lineage
Gastric	group
Glia	lineage
Goblet	group
Heart.Cardiomyocyte	group
Hepatocyte	lineage
Hepatocyte	group
Inhibitory.Neuron	group
Kidney.Epithelial	lineage
Kidney.Epithelial	group
Leukocyte	compartment
Lung.Alveolar.Epithelial	group
Lung.Bronchus.Epithelial	group
Lung.Epithelial	lineage
Lymphatic.Endothel	group
Lymphocyte	lineage
Macrophage+Monocyte	group
Mast.Cell	group
Microglia	group
Muscle	compartment
Myeloid	lineage
Neuron	lineage
Neuron+Glia	compartment
Oligodendrocyte	group
Pancreas.Acinar	group
Pancreas.Alpha	group
Pancreas.Beta	group
Pancreas.Delta	group
Pancreas.Duct	group
Pancreas.Exocrine	lineage
Pancreatic.Islet	lineage
Perivascular	compartment
Perivascular	lineage
Perivascular	group
Schwann.Cell	group
Skeletal.Muscle	lineage
Skeletal.Muscle	group
Small.Intest	group
Thyroid.Epithelial	lineage
Thyroid.Epithelial	group
Trophoblast	lineage
Trophoblast	group
Vascular.Endothel	group
