truth	ANP	ASC	CA1	CA3	CA3-St18	CGE-Lamp5	CGE-Vip	CLA	CT-L6	Chd7	D1L-Fstl4	D1L-PAL	DG	DG-po	EC	EP	Foxp2	Gfra1	IG-CA2	IT-L23	IT-L4	IT-L5	IT-L6	L6b	LSX-Inh	MGC	MGE-Pvalb	MGE-Sst	MSN-D1	MSN-D2	NP-L6	ODC	OLF	OLF-Exc	OPC	PAL-Inh	PC	PT-L5	Unc5c	VLMC	VLMC-Pia
ANP	20.000	19.800	0.000	0.400	0.000	0.000	1.000	0.200	0.000	0.000	0.200	0.400	8.200	0.200	0.200	0.000	1.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.600	0.400	1.000	0.000	0.000	0.000	0.000	0.800	7.200	0.600	1.000	1.400	0.000	0.000	0.000	0.000	0.000
ASC	1.767	20.000	0.000	0.000	0.000	0.100	0.100	0.033	0.000	0.033	0.033	0.100	0.133	0.000	0.000	0.000	0.200	0.000	0.000	0.033	0.000	0.000	0.000	0.067	0.233	0.000	0.033	0.100	0.000	0.000	0.100	0.367	0.467	0.167	0.533	0.400	0.067	0.000	0.067	0.033	0.067
CA1	0.067	0.100	20.000	1.233	0.267	0.067	0.067	0.000	0.200	0.133	0.067	0.000	0.367	0.000	0.000	0.067	0.133	0.367	0.167	0.333	0.000	0.167	0.067	0.000	0.233	0.000	0.033	0.100	0.000	0.000	0.133	0.000	0.333	1.367	0.000	0.267	0.033	0.733	0.033	0.000	0.000
CA3	0.032	0.000	2.168	20.000	1.521	0.065	0.065	0.032	0.065	0.000	0.000	0.000	1.003	0.259	0.000	0.000	0.065	0.000	2.524	0.097	0.065	0.065	0.065	0.000	0.065	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.129	0.421	0.000	0.032	0.032	0.032	0.000	0.000	0.000
CA3-St18	0.000	0.000	1.138	12.195	20.000	0.000	0.000	0.000	0.813	0.163	0.000	0.000	1.789	0.000	0.000	0.000	0.000	0.163	1.138	0.000	0.325	0.163	0.325	0.000	0.000	0.000	0.163	0.000	0.000	0.000	0.000	0.000	0.163	0.325	0.000	0.000	0.000	0.163	0.000	0.000	0.000
CGE-Lamp5	0.046	0.138	0.046	0.000	0.000	20.000	3.264	0.000	0.000	0.046	0.046	0.046	0.138	0.000	0.000	0.092	0.046	0.000	0.000	0.276	0.000	0.046	0.046	0.092	0.368	0.046	0.368	0.092	0.000	0.046	0.000	0.046	0.506	0.322	0.000	0.000	0.000	0.276	0.414	0.000	0.000
CGE-Vip	0.038	0.229	0.076	0.038	0.114	2.133	20.000	0.000	0.000	0.495	0.076	0.076	0.114	0.000	0.000	0.038	0.152	0.000	0.000	0.000	0.114	0.000	0.038	0.076	0.533	0.000	0.724	1.943	0.000	0.038	0.000	0.190	1.143	0.419	0.114	0.686	0.000	0.076	0.114	0.000	0.000
CLA	0.000	0.211	0.000	0.000	0.000	0.000	0.140	20.000	0.351	0.000	0.281	0.000	0.000	0.070	0.000	0.632	0.070	0.000	0.000	0.351	0.491	0.491	1.895	0.491	0.140	0.070	0.211	0.140	0.070	0.140	0.211	0.000	0.281	0.491	0.000	0.140	0.000	0.211	0.000	0.000	0.000
CT-L6	0.000	0.000	0.033	0.067	0.000	0.033	0.033	0.300	20.000	0.067	0.033	0.000	0.000	0.000	0.000	0.500	0.067	0.000	0.033	0.167	0.300	0.833	3.500	2.400	0.100	0.033	0.033	0.100	0.033	0.067	0.433	0.000	0.000	0.567	0.000	0.267	0.000	1.267	0.000	0.000	0.033
Chd7	0.171	0.342	0.000	0.000	0.000	0.000	6.496	0.171	0.000	20.000	0.000	0.000	0.000	0.000	0.000	0.000	1.368	0.000	0.000	0.342	0.000	0.171	0.342	0.171	1.026	0.000	6.496	4.444	0.342	0.342	0.513	0.000	1.880	0.342	0.000	10.085	0.000	0.000	0.342	0.000	0.000
