"carat","cut","color","clarity","depth","table","price","x","y","z"
0.39,"Ideal","I","VVS2",60.8,56,849,4.74,4.76,2.89
1.12,"Very Good","G","SI2",63.3,58,4478,6.7,6.63,4.22
0.51,"Very Good","G","VVS2",62.9,57,1750,5.06,5.12,3.2
0.52,"Very Good","D","VS1",62.5,57,1829,5.11,5.16,3.21
0.28,"Very Good","E","VVS2",61.4,55,612,4.22,4.25,2.6
1.01,"Fair","F","SI1",67.2,60,4276,6.06,6,4.05
0.4,"Very Good","D","VS1",60.8,59,954,4.74,4.76,2.89
0.9,"Ideal","D","SI1",62.1,57,4523,6.18,6.25,3.86
0.33,"Ideal","G","VVS1",62,55,838,4.45,4.49,2.77
0.71,"Premium","G","VS2",62.1,62,2623,5.71,5.65,3.53
0.5,"Very Good","E","VS2",63.4,59,1629,5.09,5.06,3.22
1.02,"Premium","H","VS1",62.1,59,5569,6.43,6.38,3.98
0.33,"Ideal","G","VVS1",61.5,56,1114,4.46,4.45,2.74
0.3,"Ideal","H","VS1",62.1,54,675,4.35,4.32,2.69
0.28,"Very Good","H","VVS1",59.9,62,504,4.23,4.28,2.55
0.41,"Ideal","D","VS1",61.8,57,1151,4.75,4.8,2.95
1.54,"Ideal","D","SI2",61.6,57,10740,7.4,7.44,4.57
0.7,"Very Good","F","SI1",61.5,58,2373,5.65,5.7,3.49
0.7,"Good","F","SI1",64.3,63,2059,5.58,5.55,3.58
1.2,"Very Good","J","VS2",62.6,57,4963,6.72,6.8,4.23
0.44,"Ideal","D","SI1",61.6,56,838,4.9,4.93,3.03
0.39,"Very Good","E","VVS2",61.9,58,971,4.66,4.68,2.89
1.07,"Premium","H","SI1",59.2,61,5237,6.67,6.65,3.94
0.9,"Ideal","G","VVS2",61.6,56,6302,6.2,6.23,3.83
1.26,"Fair","I","SI2",64.8,57,4551,6.73,6.69,4.35
0.3,"Ideal","G","VVS1",61.9,54,764,4.33,4.36,2.69
0.72,"Ideal","J","SI1",62.7,56,1832,5.67,5.75,3.58
2.06,"Premium","H","SI2",62.6,58,12931,8.06,8.03,5.04
0.74,"Ideal","G","SI1",61.6,55,2760,5.8,5.85,3.59
0.9,"Ideal","E","VS2",62.7,56,4770,6.14,6.18,3.86
0.41,"Premium","F","VVS1",61.3,59,1295,4.73,4.79,2.92
0.24,"Very Good","D","VVS1",59.2,59,478,4.04,4.1,2.41
0.9,"Premium","G","SI1",61,59,3931,6.29,6.17,3.8
1.51,"Very Good","H","SI1",63.5,55,8541,7.31,7.22,4.61
0.32,"Premium","E","I1",60.9,58,345,4.38,4.42,2.68
0.5,"Ideal","G","VVS2",62.3,56,1935,5.09,5.05,3.16
0.38,"Ideal","G","VS2",61.5,57,840,4.66,4.68,2.87
0.5,"Very Good","G","SI1",62.4,52,1153,5.1,5.15,3.2
1.04,"Good","E","SI1",63.8,58,5766,6.46,6.39,4.1
2.2,"Ideal","I","SI2",62.2,56,14277,8.34,8.29,5.18
0.62,"Ideal","D","SI1",60.8,59,1927,5.48,5.5,3.34
0.7,"Very Good","D","SI1",61.1,58,2768,5.66,5.73,3.48
0.28,"Very Good","F","VVS2",62.6,55,707,4.18,4.2,2.62
0.3,"Ideal","F","IF",60.9,56,892,4.32,4.35,2.64
1.41,"Premium","G","VS1",62.1,59,11347,7.1,7.06,4.4
1.54,"Premium","D","VS2",62.7,59,16921,7.33,7.29,4.58
0.33,"Ideal","F","VVS2",61.4,56,1040,4.49,4.44,2.74
1.6,"Ideal","G","VS2",61.9,56,15000,7.53,7.47,4.64
0.59,"Good","F","VS1",60.5,61,1861,5.43,5.5,3.31
0.32,"Ideal","G","VVS1",61.4,55,1080,4.44,4.42,2.72
0.43,"Ideal","G","VS1",61.1,56,1008,4.9,4.86,2.98
0.9,"Premium","H","VS1",62.7,60,4234,6.12,6.07,3.82
0.55,"Premium","F","SI2",60.6,58,1175,5.28,5.31,3.21
1.19,"Ideal","H","I1",60.3,57,3794,6.83,6.93,4.15
0.7,"Premium","E","SI1",62.9,58,2333,5.68,5.61,3.55
0.71,"Ideal","D","SI1",63,55,2694,5.64,5.57,3.53
1.11,"Ideal","H","SI2",62.7,57,4662,6.66,6.59,4.14
1.59,"Premium","H","SI2",62.6,59,9385,7.42,7.4,4.64
3,"Good","J","SI2",59.3,64,14918,9.32,9.19,5.5
0.62,"Very Good","D","VS2",59.2,59.1,2311,5.55,5.6,3.3
1,"Fair","J","VS1",66.6,57,3080,6.07,6.03,4.03
0.53,"Ideal","G","VS1",61.7,55,1607,5.18,5.22,3.21
0.4,"Very Good","E","VS2",64,52,925,4.66,4.69,2.99
1.09,"Ideal","H","SI1",62.1,55,5376,6.6,6.64,4.11
1.2,"Good","H","SI2",62.2,62,5082,6.69,6.75,4.18
1.01,"Premium","F","VVS2",62.1,52,9013,6.5,6.45,4.02
1.08,"Ideal","E","SI1",62.6,57,5189,6.56,6.53,4.1
2,"Very Good","I","VS2",63.1,60,17084,7.95,7.99,5.03
0.34,"Ideal","H","VS1",62.3,55,765,4.48,4.45,2.78
1.01,"Very Good","G","SI2",63.7,57,4498,6.3,6.35,4.03
0.39,"Ideal","I","VS1",62.5,54,1047,4.7,4.67,2.92
0.73,"Ideal","F","SI2",60.5,59,2255,5.83,5.88,3.54
1.01,"Premium","E","VS2",62,59,6787,6.46,6.44,4
0.34,"Premium","H","VS2",62.6,60,537,4.42,4.46,2.78
0.38,"Good","H","SI2",63.4,57,547,4.58,4.63,2.92
1.36,"Premium","G","SI1",60.6,59,7729,7.21,7.17,4.36
0.71,"Ideal","H","SI1",61.3,58,2368,5.73,5.78,3.53
1.02,"Good","E","SI2",64.2,59,4414,6.26,6.2,4
0.81,"Ideal","G","VS2",61.5,55,3397,6,6.06,3.71
1,"Good","G","SI1",63.1,56,4218,6.31,6.41,4.01
0.56,"Ideal","E","VS2",61.9,55,1915,5.34,5.29,3.29
0.3,"Ideal","E","VS2",61.3,57,844,4.33,4.29,2.64
0.31,"Ideal","G","VVS2",60.9,56,687,4.4,4.43,2.69
0.33,"Ideal","E","VS1",60.6,57,686,4.49,4.52,2.73
0.4,"Premium","D","SI1",61.7,58,772,4.7,4.74,2.91
1.01,"Ideal","G","VS1",62.4,56,6794,6.44,6.39,4
0.65,"Very Good","H","SI2",62,56,1331,5.53,5.56,3.44
0.71,"Ideal","F","VS2",61.6,56,3516,5.74,5.77,3.54
1.21,"Premium","F","VVS1",63,59,11175,6.75,6.7,4.24
1.02,"Ideal","F","SI2",61.6,56,4968,6.47,6.5,3.99
0.7,"Ideal","D","SI1",62.5,55,2726,5.68,5.72,3.56
1.23,"Ideal","I","SI2",62.1,56,5175,6.84,6.88,4.26
1,"Good","G","SI1",59.9,58,6437,6.44,6.48,3.87
1.22,"Good","H","SI2",61.5,64,4782,6.93,6.87,4.25
0.75,"Very Good","E","SI1",61.5,58,2923,5.82,5.86,3.59
0.56,"Ideal","F","VVS2",61.3,57,2554,5.31,5.35,3.26
2,"Premium","F","SI1",62.6,59,18493,8.1,8.04,5.05
0.34,"Ideal","E","VS2",62.4,56,956,4.49,4.45,2.79
1.05,"Premium","E","VS2",62.6,59,5645,6.5,6.43,4.05
0.35,"Ideal","E","VS2",62.2,56,767,4.51,4.53,2.81
0.9,"Very Good","D","VS2",63,62,4668,6.06,6.13,3.84
1.14,"Premium","F","SI1",62.5,59,5228,6.67,6.65,4.16
0.4,"Ideal","H","VVS2",62.3,57,877,4.71,4.73,2.94
0.55,"Ideal","E","VVS2",61.4,56,2499,5.28,5.31,3.25
0.41,"Very Good","G","VS1",60.5,57,899,4.81,4.85,2.92
0.41,"Ideal","D","VS1",62.1,56,1151,4.77,4.8,2.97
1.23,"Premium","J","VS2",58,61,4338,7.07,7.03,4.09
0.71,"Premium","D","VVS1",59.7,59,4482,5.81,5.88,3.49
1.16,"Ideal","G","SI1",60.9,57,5519,6.79,6.75,4.12
0.72,"Premium","E","SI2",62.9,58,2376,5.74,5.68,3.59
1.08,"Ideal","G","SI2",62.3,56,4489,6.53,6.57,4.08
1.5,"Very Good","I","VVS2",63.3,58,10090,7.27,7.24,4.59
2.37,"Premium","H","SI2",62.3,57,16021,8.55,8.5,5.31
1.5,"Ideal","E","SI1",60.4,59,12265,7.38,7.43,4.47
1,"Premium","H","SI2",59.4,60,3360,6.55,6.49,3.87
1.01,"Premium","H","VS2",61.3,59,4959,6.44,6.48,3.96
1.24,"Very Good","J","I1",61.9,55,2940,6.85,6.92,4.26
0.81,"Ideal","H","VS2",61.6,56,3084,6.03,5.98,3.7
0.96,"Fair","F","I1",62.9,66,1917,6.29,6.07,3.91
2.02,"Ideal","I","SI2",60.9,60,14027,8.08,8.14,4.94
1.02,"Very Good","H","SI2",62.4,59,3927,6.37,6.42,3.99
0.32,"Ideal","E","VVS2",60.8,57,1080,4.46,4.42,2.7
0.92,"Good","I","SI1",57.4,65,3122,6.42,6.48,3.7
0.31,"Very Good","D","VS2",61.6,55,692,4.37,4.4,2.7
1.52,"Premium","D","SI2",60.6,62,9561,7.42,7.37,4.48
1.06,"Ideal","G","SI2",62.2,56,4778,6.55,6.48,4.05
1.31,"Ideal","H","VS1",61.5,55,8583,7.05,7.02,4.33
0.91,"Premium","G","SI1",62.6,58,3975,6.17,6.14,3.85
0.53,"Ideal","H","VS2",62.3,54,1353,5.19,5.21,3.24
2.04,"Very Good","H","SI2",60.8,58,14810,8.14,8.23,4.98
1.5,"Fair","E","SI2",65.8,57,7459,7.17,7.11,4.7
0.72,"Very Good","G","SI2",62.5,56,2079,5.68,5.71,3.56
0.76,"Ideal","D","SI2",62.4,57,2770,5.78,5.83,3.62
1.21,"Ideal","F","IF",62.8,56,15497,6.75,6.84,4.27
0.34,"Premium","G","VS2",60.2,58,765,4.55,4.52,2.73
1.5,"Very Good","D","SI2",58.7,57,9009,7.42,7.48,4.37
1.67,"Very Good","J","SI1",62.3,59,7911,7.59,7.63,4.74
0.9,"Good","F","SI1",63.3,60,3950,6.09,6.11,3.86
1.44,"Premium","G","VS1",61.8,57,11588,7.21,7.09,4.42
0.9,"Premium","G","SI2",62.1,58,3246,6.13,6.08,3.79
2.02,"Ideal","J","SI2",62.2,57,12736,8.11,8.18,5.07
0.41,"Ideal","E","VS2",61.6,55,999,4.79,4.75,2.94
1,"Fair","H","VS2",64.8,62,4861,6.22,6.13,4
0.32,"Ideal","D","VS1",61.4,56,756,4.42,4.47,2.73
0.33,"Ideal","H","VS1",60.2,57,743,4.54,4.5,2.72
0.56,"Premium","G","SI1",62.8,55,1345,5.28,5.26,3.31
0.41,"Ideal","D","SI1",61.6,55,1015,4.8,4.78,2.95
1.41,"Good","G","SI1",63.7,57,7738,7.13,7.03,4.51
1.7,"Ideal","J","VS2",62.2,56,9276,7.64,7.61,4.74
1.04,"Premium","D","SI2",60.9,57,4123,6.54,6.49,3.97
1.11,"Very Good","I","SI2",62.6,55,4168,6.65,6.71,4.18
0.3,"Fair","F","VVS2",65.5,61,743,4.19,4.15,2.73
1.5,"Fair","D","SI2",68.8,57,7469,6.9,6.86,4.73
0.9,"Very Good","I","SI2",60.9,63,2704,6.21,6.13,3.76
0.9,"Very Good","I","VS1",62,61,3880,6.12,6.18,3.81
0.34,"Ideal","G","VVS1",61.3,55,863,4.54,4.56,2.79
0.3,"Ideal","G","VS1",61.9,56,605,4.29,4.34,2.67
0.34,"Ideal","D","VS1",61.2,58,787,4.45,4.5,2.74
1.01,"Premium","J","SI2",61.2,59,3733,6.43,6.37,3.92
0.37,"Premium","E","SI1",61.8,58,833,4.64,4.59,2.85
2.01,"Good","G","SI1",60.8,61,18077,7.99,8.09,4.89
0.33,"Premium","H","VS1",61.9,58,579,4.43,4.45,2.75
1.01,"Very Good","G","VVS2",63.4,55,6968,6.41,6.34,4.04
1.51,"Premium","F","VS2",62,59,13945,7.37,7.18,4.51
0.3,"Premium","H","IF",60.4,60,1013,4.34,4.3,2.61
0.26,"Ideal","H","SI1",62.2,54,397,4.1,4.13,2.56
1.13,"Ideal","H","VS2",62,55,4708,6.68,6.65,4.13
0.31,"Very Good","G","VS2",61,56,544,4.35,4.37,2.66
0.9,"Very Good","H","SI1",63.3,58,3500,6.04,6.13,3.85
0.3,"Very Good","J","SI1",63.4,54,450,4.29,4.23,2.7
0.76,"Premium","F","SI1",60.9,59,2631,5.89,5.83,3.57
