coverage,mae,model,panel
71,0.135017782,arm A,"external, binary"
143,0.130990386,arm A,"external, binary"
287,0.127967402,arm A,"external, binary"
574,0.126841426,arm A,"external, binary"
1148,0.121684074,arm A,"external, binary"
2297,0.117773667,arm A,"external, binary"
4594,0.107917942,arm A,"external, binary"
9188,0.101389244,arm A,"external, binary"
18376,0.0987505466,arm A,"external, binary"
36752,0.0972688943,arm A,"external, binary"
73504,0.0964367241,arm A,"external, binary"
147009,0.0959110856,arm A,"external, binary"
71,0.162006795,arm B,"external, binary"
143,0.158306777,arm B,"external, binary"
287,0.154171705,arm B,"external, binary"
574,0.14672935,arm B,"external, binary"
1148,0.135838702,arm B,"external, binary"
2297,0.122067034,arm B,"external, binary"
4594,0.107279457,arm B,"external, binary"
9188,0.0993635505,arm B,"external, binary"
18376,0.0975330919,arm B,"external, binary"
36752,0.0968557596,arm B,"external, binary"
73504,0.0964316949,arm B,"external, binary"
147009,0.0961334556,arm B,"external, binary"
71,0.132471859,arm A,"external, continuous"
143,0.129097134,arm A,"external, continuous"
287,0.124928206,arm A,"external, continuous"
574,0.119431764,arm A,"external, continuous"
1148,0.112979308,arm A,"external, continuous"
2297,0.107283309,arm A,"external, continuous"
4594,0.100738861,arm A,"external, continuous"
9188,0.0973946452,arm A,"external, continuous"
18376,0.0963973254,arm A,"external, continuous"
36752,0.0959975496,arm A,"external, continuous"
73504,0.0958303958,arm A,"external, continuous"
147009,0.0957364738,arm A,"external, continuous"
71,0.161658302,arm B,"external, continuous"
143,0.15828532,arm B,"external, continuous"
287,0.15397121,arm B,"external, continuous"
574,0.145608187,arm B,"external, continuous"
1148,0.133354947,arm B,"external, continuous"
2297,0.119271092,arm B,"external, continuous"
4594,0.104787163,arm B,"external, continuous"
9188,0.0975675061,arm B,"external, continuous"
18376,0.0963189751,arm B,"external, continuous"
36752,0.0961916298,arm B,"external, continuous"
73504,0.0961254835,arm B,"external, continuous"
147009,0.0960785747,arm B,"external, continuous"
71,0.110753253,arm A,"Loyfer, binary"
143,0.110030055,arm A,"Loyfer, binary"
287,0.107831299,arm A,"Loyfer, binary"
574,0.10535223,arm A,"Loyfer, binary"
1148,0.0992528945,arm A,"Loyfer, binary"
2297,0.0944220722,arm A,"Loyfer, binary"
4594,0.0859529302,arm A,"Loyfer, binary"
9188,0.0783010274,arm A,"Loyfer, binary"
18376,0.0751025975,arm A,"Loyfer, binary"
36752,0.0719842315,arm A,"Loyfer, binary"
73504,0.0713261813,arm A,"Loyfer, binary"
147009,0.0710176677,arm A,"Loyfer, binary"
71,0.142972007,arm B,"Loyfer, binary"
143,0.140233129,arm B,"Loyfer, binary"
287,0.136255249,arm B,"Loyfer, binary"
574,0.130222514,arm B,"Loyfer, binary"
1148,0.118743747,arm B,"Loyfer, binary"
2297,0.103275508,arm B,"Loyfer, binary"
4594,0.0857215971,arm B,"Loyfer, binary"
9188,0.0757022351,arm B,"Loyfer, binary"
18376,0.0740845203,arm B,"Loyfer, binary"
36752,0.0719714984,arm B,"Loyfer, binary"
73504,0.0716467798,arm B,"Loyfer, binary"
147009,0.0716036558,arm B,"Loyfer, binary"
71,0.107642293,arm A,"Loyfer, continuous"
143,0.104812369,arm A,"Loyfer, continuous"
287,0.101925686,arm A,"Loyfer, continuous"
574,0.0983810872,arm A,"Loyfer, continuous"
1148,0.0920867249,arm A,"Loyfer, continuous"
2297,0.0843489617,arm A,"Loyfer, continuous"
4594,0.0775244832,arm A,"Loyfer, continuous"
9188,0.0727054477,arm A,"Loyfer, continuous"
18376,0.0713141412,arm A,"Loyfer, continuous"
36752,0.0707701147,arm A,"Loyfer, continuous"
73504,0.0706267655,arm A,"Loyfer, continuous"
147009,0.0705763698,arm A,"Loyfer, continuous"
71,0.142546982,arm B,"Loyfer, continuous"
143,0.139449194,arm B,"Loyfer, continuous"
287,0.135628864,arm B,"Loyfer, continuous"
574,0.129023477,arm B,"Loyfer, continuous"
1148,0.117740974,arm B,"Loyfer, continuous"
2297,0.100207523,arm B,"Loyfer, continuous"
4594,0.0826738998,arm B,"Loyfer, continuous"
9188,0.0732518435,arm B,"Loyfer, continuous"
18376,0.0718029365,arm B,"Loyfer, continuous"
36752,0.0714597553,arm B,"Loyfer, continuous"
73504,0.0713968724,arm B,"Loyfer, continuous"
147009,0.0713744313,arm B,"Loyfer, continuous"
