sample	chrom	start	end	nprobes	log2ratio
K562	chr1	585989	900000	35	0.18262
K562	chr1	900001	950000	111	0.27314
K562	chr1	950001	1000000	118	0.25334
K562	chr1	1000001	1050000	136	0.28001
K562	chr1	1050001	1100000	111	0.22818
K562	chr1	1100001	1150000	95	0.27918
K562	chr1	1150001	1200000	105	0.31056
K562	chr1	1200001	1250000	121	0.2751
K562	chr1	1250001	1300000	115	0.23801
K562	chr1	1300001	1350000	138	0.24014
K562	chr1	1350001	1400000	117	0.2494
K562	chr1	1400001	1450000	118	0.2859
K562	chr1	1450001	1500000	34	0.28882
K562	chr1	1500001	1550000	76	0.18297
K562	chr1	1550001	1600000	68	0.22268
K562	chr1	1600001	1650000	83	0.28955
K562	chr1	1650001	1700000	47	0.20868
K562	chr1	1700001	1750000	24	0.22753
K562	chr1	1750001	1850000	106	0.24523
K562	chr1	1850001	1900000	39	0.24003
K562	chr1	1900001	1950000	105	0.21883
K562	chr1	1950001	2000000	53	0.19338
K562	chr1	2000001	2050000	84	0.13303
K562	chr1	2050001	2100000	114	0.14612
K562	chr1	2100001	2150000	83	0.14729
K562	chr1	2150001	2200000	133	0.18704
K562	chr1	2200001	2250000	115	0.22489
K562	chr1	2250001	2300000	84	0.20049
K562	chr1	2300001	2350000	103	0.1974
K562	chr1	2350001	2400000	76	0.16006
K562	chr1	2400001	2450000	113	0.21523
K562	chr1	2450001	2500000	92	0.18383
K562	chr1	2500001	2550000	123	0.20777
K562	chr1	2550001	2600000	74	0.29032
K562	chr1	2600001	2702781	72	0.21494
K562	chr1	2746291	2800000	22	0.12218
K562	chr1	2800001	2850000	47	0.04612
K562	chr1	2850001	2900000	60	-0.03833
K562	chr1	2900001	2950000	80	-0.01416
K562	chr1	2950001	3000000	38	0.1074
K562	chr1	3000001	3050000	57	0.0297
K562	chr1	3050001	3100000	92	0.11255
K562	chr1	3100001	3150000	88	-0.05105
K562	chr1	3150001	3200000	99	0.03626
K562	chr1	3200001	3250000	125	0.02494
K562	chr1	3250001	3300000	67	0.05897
K562	chr1	3300001	3350000	50	0.08871
K562	chr1	3350001	3400000	86	0.04694
K562	chr1	3400001	3450000	83	0.0538
K562	chr1	3450001	3500000	99	0.1124
K562	chr1	3500001	3550000	65	0.12932
K562	chr1	3550001	3600000	58	0.11934
K562	chr1	3600001	3650000	101	0.23783
K562	chr1	3650001	3700000	112	0.26854
K562	chr1	3700001	3750000	73	0.28285
K562	chr1	3750001	3800000	76	0.25998
K562	chr1	3800001	3850000	40	0.26696
K562	chr1	3850001	3900000	61	0.21879
K562	chr1	3900001	3950000	61	0.20233
K562	chr1	3950001	4000000	20	0.13514
K562	chr1	4000001	4100000	33	0.18417
K562	chr1	4100001	4150000	24	0.106
K562	chr1	4150001	4600000	93	0.0153
K562	chr1	4600001	4650000	21	0.14888
K562	chr1	4650001	4700000	41	0.198
K562	chr1	4700001	4750000	35	0.02151
K562	chr1	4750001	4800000	35	0.009
K562	chr1	4800001	5050000	21	0.00313
K562	chr1	5050001	5500000	66	0.03856
K562	chr1	5500001	5700000	32	-0.01353
K562	chr1	5700001	5800000	42	0.09791
K562	chr1	5800001	5850000	32	0.16858
K562	chr1	5850001	5900000	89	0.17651
K562	chr1	5900001	5950000	35	0.22357
K562	chr1	5950001	6000000	63	0.23447
K562	chr1	6000001	6050000	76	0.36741
K562	chr1	6050001	6100000	66	0.28447
K562	chr1	6100001	6150000	61	0.16583
K562	chr1	6150001	6200000	59	0.24152
K562	chr1	6200001	6250000	105	0.28023
K562	chr1	6250001	6300000	61	0.34199
K562	chr1	6300001	6350000	49	0.33769
K562	chr1	6350001	6400000	73	0.2851
K562	chr1	6400001	6450000	51	0.36585
K562	chr1	6450001	6500000	115	0.30965
K562	chr1	6500001	6550000	39	0.33294
K562	chr1	6550001	6600000	78	0.28284
K562	chr1	6600001	6650000	84	0.28888
K562	chr1	6650001	6700000	20	0.21265
K562	chr1	6700001	6750000	31	0.17691
K562	chr1	6750001	6850000	42	0.27607
K562	chr1	6850001	6950000	38	0.15631
K562	chr1	6950001	7000000	28	0.12504
K562	chr1	7000001	7050000	23	0.04322
K562	chr1	7050001	7100000	29	0.18882
K562	chr1	7100001	7200000	39	0.04575
K562	chr1	7200001	7300000	41	0.06464
K562	chr1	7300001	7350000	25	0.11524
K562	chr1	7350001	7400000	22	0.01416
K562	chr1	7400001	7450000	25	0.06878
K562	chr1	7450001	7500000	34	-0.02729
K562	chr1	7500001	7550000	34	0.03977
K562	chr1	7550001	7600000	29	0.09808
K562	chr1	7600001	7650000	29	0.01245
K562	chr1	7650001	7700000	47	0.03385
K562	chr1	7700001	7750000	28	0.11867
K562	chr1	7750001	7800000	47	0.25101
K562	chr1	7800001	7850000	28	0.17803
K562	chr1	7850001	7900000	22	0.2452
K562	chr1	7900001	7950000	37	0.14
K562	chr1	7950001	8000000	40	0.24531
K562	chr1	8000001	8050000	46	0.23021
K562	chr1	8050001	8100000	23	0.10673
K562	chr1	8100001	8150000	23	0.07329
K562	chr1	8150001	8200000	27	0.09998
K562	chr1	8200001	8300000	62	0.15264
K562	chr1	8300001	8350000	77	0.1777
K562	chr1	8350001	8400000	55	0.21202
K562	chr1	8400001	8450000	46	0.17041
K562	chr1	8450001	8500000	20	0.11894
K562	chr1	8500001	8550000	28	0.14861
K562	chr1	8550001	8650000	26	0.16141
K562	chr1	8650001	8700000	25	0.18663
K562	chr1	8700001	8800000	40	0.19669
K562	chr1	8800001	8850000	29	0.24122
K562	chr1	8850001	8900000	46	0.22567
K562	chr1	8900001	9000000	51	0.18119
K562	chr1	9000001	9050000	42	0.24195
K562	chr1	9050001	9100000	39	0.11629
K562	chr1	9100001	9150000	35	0.26731
K562	chr1	9150001	9200000	51	0.21988
K562	chr1	9200001	9250000	44	0.11032
K562	chr1	9250001	9300000	53	0.22413
K562	chr1	9300001	9350000	51	0.07324
K562	chr1	9350001	9400000	53	0.14113
K562	chr1	9400001	9450000	41	0.0535
K562	chr1	9450001	9500000	22	0.16101
K562	chr1	9500001	9550000	31	0.28508
K562	chr1	9550001	9600000	28	0.26468
K562	chr1	9600001	9650000	42	0.24223
K562	chr1	9650001	9700000	50	0.19675
K562	chr1	9700001	9750000	110	0.22365
K562	chr1	9750001	9800000	26	0.25969
K562	chr1	9800001	9850000	54	0.19278
K562	chr1	9850001	9900000	39	0.23375
K562	chr1	9900001	9950000	62	0.26657
K562	chr1	9950001	10000000	24	0.23654
K562	chr1	10000001	10150000	49	0.2164
K562	chr1	10150001	10200000	20	0.16917
K562	chr1	10200001	10300000	41	0.24599
K562	chr1	10300001	10350000	20	0.22609
K562	chr1	10350001	10400000	28	0.26251
K562	chr1	10400001	10450000	56	0.22457
K562	chr1	10450001	10500000	59	0.22386
K562	chr1	10500001	10600000	53	0.18174
K562	chr1	10600001	10650000	58	0.30234
K562	chr1	10650001	10700000	93	0.30195
K562	chr1	10700001	10750000	50	0.10023
K562	chr1	10750001	10800000	68	0.1389
K562	chr1	10800001	10850000	36	0.08775
K562	chr1	10850001	10900000	27	0.17568
K562	chr1	10900001	10950000	43	0.11607
K562	chr1	10950001	11000000	30	0.11395
K562	chr1	11000001	11050000	35	0.22578
K562	chr1	11050001	11100000	72	0.20348
K562	chr1	11100001	11150000	56	0.20402
K562	chr1	11150001	11250000	44	0.19708
K562	chr1	11250001	11300000	43	0.2336
K562	chr1	11300001	11350000	29	0.09413
K562	chr1	11350001	11400000	22	0.07829
K562	chr1	11400001	11450000	21	0.05905
K562	chr1	11450001	11500000	41	0.1713
K562	chr1	11500001	11550000	42	0.04357
K562	chr1	11550001	11600000	20	0.14498
K562	chr1	11600001	11650000	21	0.15267
K562	chr1	11650001	11700000	87	0.24264
K562	chr1	11700001	11750000	51	0.26812
K562	chr1	11750001	11800000	41	0.26536
K562	chr1	11800001	11850000	83	0.2325
K562	chr1	11850001	11900000	39	0.19033
K562	chr1	11900001	11950000	44	0.29143
K562	chr1	11950001	12000000	44	0.22344
K562	chr1	12000001	12050000	56	0.24594
K562	chr1	12050001	12100000	42	0.23604
K562	chr1	12100001	12150000	39	0.32353
K562	chr1	12150001	12200000	66	0.26668
K562	chr1	12200001	12250000	21	0.22158
K562	chr1	12250001	12400000	34	0.18015
K562	chr1	12400001	12450000	29	0.26044
K562	chr1	12450001	12500000	40	0.30069
K562	chr1	12500001	12550000	42	0.13051
K562	chr1	12550001	12600000	30	0.17039
K562	chr1	12600001	12700000	62	0.24781
K562	chr1	12700001	12954384	42	0.16167
K562	chr1	13004385	13550000	51	0.1241
K562	chr1	13550001	13650000	53	0.08888
K562	chr1	13650001	13700000	20	0.05047
K562	chr1	13700001	13750000	52	0.21047
K562	chr1	13750001	13800000	47	0.06069
K562	chr1	13800001	13900000	40	0.15448
K562	chr1	13900001	14100000	32	0.02021
K562	chr1	14100001	14300000	31	0.10219
K562	chr1	14300001	14400000	30	0.09236
K562	chr1	14400001	14550000	31	0.1112
K562	chr1	14550001	14600000	23	0.20638
K562	chr1	14600001	14800000	50	0.14424
K562	chr1	14800001	14900000	36	0.10089
K562	chr1	14900001	14950000	45	0.16965
K562	chr1	14950001	15000000	30	0.10657
K562	chr1	15000001	15050000	21	0.03002
K562	chr1	15050001	15100000	44	0.11191
K562	chr1	15100001	15150000	27	0.10057
K562	chr1	15150001	15200000	61	0.2073
K562	chr1	15200001	15250000	47	0.21279
K562	chr1	15250001	15300000	21	0.12639
K562	chr1	15300001	15350000	46	0.15537
K562	chr1	15350001	15400000	30	0.1589
K562	chr1	15400001	15450000	55	0.24882
K562	chr1	15450001	15500000	23	0.07634
K562	chr1	15500001	15550000	48	0.2475
K562	chr1	15550001	15600000	42	0.24748
K562	chr1	15600001	15650000	33	0.29844
K562	chr1	15650001	15700000	38	0.32956
K562	chr1	15700001	15750000	81	0.27794
K562	chr1	15750001	15800000	57	0.24572
K562	chr1	15800001	15850000	52	0.30983
K562	chr1	15850001	15900000	26	0.16053
K562	chr1	15900001	15950000	54	0.20871
K562	chr1	15950001	16000000	35	0.26467
K562	chr1	16000001	16050000	56	0.22298
K562	chr1	16050001	16100000	41	0.1965
K562	chr1	16100001	16150000	44	0.13471
K562	chr1	16150001	16200000	75	0.23402
K562	chr1	16200001	16250000	70	0.23921
K562	chr1	16250001	16350000	21	0.21558
K562	chr1	16350001	16400000	51	0.30043
K562	chr1	16400001	16500000	57	0.25286
K562	chr1	16500001	16600000	22	0.10613
K562	chr1	16600001	16700000	44	0.14034
K562	chr1	16700001	16799163	37	0.19605
K562	chr1	16849164	16950000	44	0.24124
K562	chr1	16950001	17000000	63	0.22694
K562	chr1	17000001	17050000	49	0.26799
K562	chr1	17050001	17100000	46	0.18834
K562	chr1	17100001	17150000	44	0.15793
K562	chr1	17150001	17200000	23	0.14541
K562	chr1	17200001	17250000	48	0.10156
K562	chr1	17250001	17300000	20	0.0943
K562	chr1	17300001	17350000	25	0.14899
K562	chr1	17350001	17400000	24	0.08596
K562	chr1	17400001	17500000	88	0.23178
K562	chr1	17500001	17550000	32	0.03038
K562	chr1	17550001	17600000	35	0.10144
K562	chr1	17600001	17650000	54	0.0599
K562	chr1	17650001	17700000	45	0.04893
K562	chr1	17700001	17750000	30	0.0457
K562	chr1	17750001	17850000	40	0.1096
K562	chr1	17850001	17950000	22	0.08221
K562	chr1	17950001	18100000	26	0.07655
K562	chr1	18100001	18150000	39	0.187
K562	chr1	18150001	18250000	28	0.06819
K562	chr1	18250001	18350000	44	0.04949
K562	chr1	18350001	18450000	42	0.09379
K562	chr1	18450001	18550000	34	0.09148
K562	chr1	18550001	18600000	24	0.13645
K562	chr1	18600001	18650000	61	0.2288
K562	chr1	18650001	18700000	20	0.11939
K562	chr1	18700001	18750000	32	0.03517
K562	chr1	18750001	18850000	41	0.13614
K562	chr1	18850001	18900000	63	0.14855
K562	chr1	18900001	18950000	70	0.24041
K562	chr1	18950001	19000000	27	0.20684
K562	chr1	19000001	19050000	20	-0.02988
K562	chr1	19050001	19100000	47	0.21196
K562	chr1	19100001	19200000	48	0.12572
K562	chr1	19200001	19250000	32	0.19231
K562	chr1	19250001	19300000	42	0.2746
K562	chr1	19300001	19350000	43	0.26485
K562	chr1	19350001	19400000	44	0.16856
K562	chr1	19400001	19450000	49	0.21528
K562	chr1	19450001	19550000	55	0.25094
K562	chr1	19550001	19600000	22	0.22189
K562	chr1	19600001	19650000	49	0.2752
K562	chr1	19650001	19700000	41	0.21717
K562	chr1	19700001	19750000	21	0.08297
K562	chr1	19750001	19800000	32	0.1785
K562	chr1	19800001	19850000	30	0.11886
K562	chr1	19850001	19900000	35	0.17694
K562	chr1	19900001	19950000	26	0.05474
K562	chr1	19950001	20100000	46	0.09665
K562	chr1	20100001	20150000	34	0.12435
K562	chr1	20150001	20200000	61	0.14108
K562	chr1	20200001	20300000	37	0.0987
K562	chr1	20300001	20350000	38	0.08733
K562	chr1	20350001	20400000	35	0.06983
K562	chr1	20400001	20450000	32	0.14542
K562	chr1	20450001	20500000	60	0.25156
K562	chr1	20500001	20550000	25	0.15121
K562	chr1	20550001	20600000	41	0.21905
K562	chr1	20600001	20650000	35	0.21318
K562	chr1	20650001	20700000	52	0.23094
K562	chr1	20700001	20750000	64	0.32664
K562	chr1	20750001	20950000	51	0.1823
K562	chr1	20950001	21050000	24	0.24804
K562	chr1	21050001	21150000	31	0.26833
K562	chr1	21150001	21200000	29	0.202
K562	chr1	21200001	21250000	30	0.23492
K562	chr1	21250001	21300000	67	0.27442
K562	chr1	21300001	21400000	70	0.22284
K562	chr1	21400001	21500000	23	0.34718
K562	chr1	21500001	21550000	38	0.25709
K562	chr1	21550001	21600000	57	0.2007
K562	chr1	21600001	21650000	56	0.17442
K562	chr1	21650001	21750000	63	0.21281
K562	chr1	21750001	21800000	31	0.2289
K562	chr1	21800001	21850000	57	0.13294
K562	chr1	21850001	21900000	52	0.10014
K562	chr1	21900001	22000000	71	0.17356
K562	chr1	22000001	22050000	27	0.27491
K562	chr1	22050001	22100000	32	0.28326
K562	chr1	22100001	22150000	52	0.19629
K562	chr1	22150001	22200000	21	0.2207
K562	chr1	22200001	22250000	31	0.05903
K562	chr1	22250001	22350000	49	0.07849
K562	chr1	22350001	22450000	33	0.04238
K562	chr1	22450001	22500000	24	0.1712
K562	chr1	22500001	22550000	24	0.16091
K562	chr1	22550001	22600000	36	0.05811
K562	chr1	22600001	22650000	52	0.06979
K562	chr1	22650001	22700000	32	0.04281
K562	chr1	22700001	22750000	30	0.19374
K562	chr1	22750001	22800000	31	0.08181
K562	chr1	22800001	22850000	33	-0.00444
K562	chr1	22850001	22900000	21	0.00189
K562	chr1	22900001	22950000	21	0.10906
K562	chr1	22950001	23000000	21	0.22251
K562	chr1	23000001	23100000	46	0.19485
K562	chr1	23100001	23150000	23	0.25255
